"file" "size"
"320" "scaffold614" 369705
"321" "scaffold617" 789832
"322" "scaffold62" 7568
"323" "scaffold632" 460598
"324" "scaffold639" 293672
"325" "scaffold63" 293672
"326" "scaffold64" 15098
"327" "scaffold651" 588115
"328" "scaffold656" 666977
"329" "scaffold65" 272178
"330" "scaffold665" 1301096
"331" "scaffold667" 606428
"332" "scaffold66" 44711
"333" "scaffold67" 28347
"334" "scaffold682" 18955
"335" "scaffold692" 919599
"336" "scaffold69" 3396549
"337" "scaffold6" 5709699
"338" "scaffold702" 239093
"339" "scaffold70" 17179
"340" "scaffold715" 472193
"341" "scaffold71" 627
"342" "scaffold733" 891859
"343" "scaffold737" 221938
"344" "scaffold738" 394549
"345" "scaffold744" 312122
"346" "scaffold747" 634999
"347" "scaffold749" 345495
"348" "scaffold755" 808465
"349" "scaffold759" 32868
"350" "scaffold75" 32868
"351" "scaffold762" 1075405
"352" "scaffold765" 562576
"353" "scaffold769" 341246
"354" "scaffold76" 341246
"355" "scaffold773" 327054
"356" "scaffold774" 344982
"357" "scaffold775" 656990
"358" "scaffold788" 324560
"359" "scaffold79" 4502053
"360" "scaffold7" 4502053
"361" "scaffold80" 13405
"362" "scaffold811" 419413
"363" "scaffold816" 2017767
"364" "scaffold818" 638498
"365" "scaffold827" 418989
"366" "scaffold82" 22645
"367" "scaffold831" 1768520
"368" "scaffold83" 161208
"369" "scaffold842" 559672
"370" "scaffold84" 3410
"371" "scaffold85" 277244
"372" "scaffold88" 15260
"373" "scaffold8" 277244
"374" "scaffold901" 1069303
"375" "scaffold90" 3133
"376" "scaffold916" 331284
"377" "scaffold91" 19510
"378" "scaffold927" 813684
"379" "scaffold93" 3315
"380" "scaffold957" 1049976
"381" "scaffold95" 1049925
"382" "scaffold964" 398595
"383" "scaffold968" 344401
"384" "scaffold96" 232512
"385" "scaffold979" 126414
"386" "scaffold97" 126414
"387" "scaffold98" 4814
"388" "scaffold99" 1590245
"389" "scaffold9" 1590245
